시설명,카테고리1,카테고리2,카테고리3,시도 명칭,시군구 명칭,법정읍면동명칭,리 명칭,번지,도로명 이름,건물 번호,위도,경도,우편번호,도로명주소,지번주소,전화번호,평일 운영시간,주말 운영시간,무료주차 가능여부,발렛주차 가능여부,유아의자 대여여부,휠체어 보유여부,애완동물 동반입장 가능여부,채식메뉴 보유여부,할랄음식 여부,글루텐프리 음식여부,최종작성일
17테이블,음식점/유흥시설,유럽음식,이탈리아,부산광역시,금정구,장전동,,302-13 번지,금정로60번길,20 번,35.22959,129.087277,46292,부산광역시 금정구 금정로60번길 20,부산광역시 금정구 장전동  302-13,0507-1394-1718,"월,화,목,금 12시-21시",토-일 12시-21시,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
1914 Lounge & Bar,음식점/유흥시설,유럽음식,이탈리아 프랑스,서울특별시,강남구,역삼동,,676 번지,테헤란로,231 번,37.502881,127.041357,6142,서울특별시 강남구 테헤란로 231,서울특별시 강남구 역삼동 676 센터필드,02-727-7640,"월-수 10시-24시,목-금 10시-01시","토 10시-01시,일 10시-24시",무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 있음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
1968쌀국수,음식점/유흥시설,동남아시아음식,베트남,대구광역시,수성구,만촌동,,948-3 번지,국채보상로200길,23 번,35.864776,128.640529,42048,대구광역시 수성구 국채보상로200길 23,대구광역시 수성구 만촌동  948-3,0507-1324-2252,화-금 11시30분-22시,"토 11시30분-22시,일 12시-22시",무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
1978Terrace,음식점/유흥시설,유럽음식,이탈리아,서울특별시,중구,예장동,,8-38 번지,소파로,95 번,37.556813,126.985348,4630,서울특별시 중구 소파로 95,서울특별시 중구 예장동 8-38 촛불 레스토랑,02-756-1978,"월,화,목,금 11시-14시",토-일 11시-14시,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
1984나폴리 남산본점,음식점/유흥시설,유럽음식,이탈리아,부산광역시,금정구,남산동,,992-13 번지,금샘로,461-1 번,35.26422,129.084834,46234,부산광역시 금정구 금샘로 461-1,부산광역시 금정구 남산동  992-13,051-517-1984,월-금 11시30분-21시30분,토-일 11시30분-21시30분,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
1984나폴리 동래직영점,음식점/유흥시설,유럽음식,이탈리아,부산광역시,동래구,온천동,,772-3 번지,중앙대로1381번길,56-3 번,35.211556,129.075076,47725,부산광역시 동래구 중앙대로1381번길 56-3,부산광역시 동래구 온천동  772-3,051-555-1984,"월,수-금 11시30분-21시",토-일 11시30분-21시,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
1984나폴리 부산진역점,음식점/유흥시설,유럽음식,이탈리아,부산광역시,동구,수정동,,116-4 번지,고관로,90 번,35.126903,129.045162,48791,부산광역시 동구 고관로 90,부산광역시 동구 수정동  116-4,051-466-1984,화-금 11시30분-21시,토-일 11시30분-21시,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
1984나폴리 서면본점,음식점/유흥시설,유럽음식,이탈리아,부산광역시,부산진구,전포동,,687-18 번지,전포대로209번길,17-6 번,35.155198,129.064135,47294,부산광역시 부산진구 전포대로209번길 17-6,부산광역시 부산진구 전포동  687-18,0507-1490-1985,"월,수-금 12시-22시",토-일 12시-22시,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
1984라벨라,음식점/유흥시설,유럽음식,이탈리아,부산광역시,부산진구,부전동,,168-391 번지,중앙대로680번가길,80-17 번,35.15694,129.061752,47292,부산광역시 부산진구 중앙대로680번가길 80-17,부산광역시 부산진구 부전동  168-391,정보없음,월-금 17시-02시,토 17시-02시,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
1988 오뎅바,음식점/유흥시설,동아시아음식,일본,부산광역시,남구,대연동,,40-3 번지,용소로13번길,61 번,35.137671,129.103616,48511,부산광역시 남구 용소로13번길 61,부산광역시 남구 대연동 40-3 아침햇살,0507-1347-0524,월-금 18시-03시,토 18시-03시,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
1인1상,음식점/유흥시설,유럽음식,이탈리아,서울특별시,은평구,진관동,,219 번지,연서로,534 번,37.640992,126.937976,3308,서울특별시 은평구 연서로 534,서울특별시 은평구 진관동  219,02-357-1111,화-금 11시-20시,토-일 11시-20시,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
22.FEB,음식점/유흥시설,유럽음식,이탈리아,서울특별시,강남구,논현동,,254-30 번지,선릉로119길,6 번,37.513647,127.042135,6100,서울특별시 강남구 선릉로119길 6,서울특별시 강남구 논현동  254-30,0507-1407-4450,월-금 11시-22시,토 12시-21시,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
299파스타,음식점/유흥시설,유럽음식,이탈리아,전라북도,전주시 완산구,고사동,,409-5 번지,전주객사4길,23-12 번,35.818758,127.143299,54999,전라북도 전주시 완산구 전주객사4길 23-12,전라북도 전주시 완산구 고사동  409-5,정보없음,정보없음,정보없음,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
2층부엌,음식점/유흥시설,유럽음식,이탈리아,경상남도,진주시,중안동,,3-8 번지,촉석로186번길,4-1 번,35.194838,128.082351,52684,경상남도 진주시 촉석로186번길 4-1,경상남도 진주시 중안동 3-8,055-747-7222,월-금 11시-21시,토-일 11시-21시,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
303화덕,음식점/유흥시설,유럽음식,이탈리아,부산광역시,동래구,온천동,,303-4 번지,차밭골로,37 번,35.217131,129.077441,47706,부산광역시 동래구 차밭골로 37,부산광역시 동래구 온천동  303-4,051-944-7044,월-금 11시-21시,토-일 11시-21시,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
32AMICO,음식점/유흥시설,유럽음식,이탈리아,경기도,고양시 일산서구,탄현동,,1575-5 번지,산현로17번길,7-10 번,37.689839,126.76296,10343,경기도 고양시 일산서구 산현로17번길 7-10,경기도 고양시 일산서구 탄현동  1575-5,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
4.2캐쥬얼다이닝,음식점/유흥시설,유럽음식,이탈리아,서울특별시,강남구,개포동,,1236-20 번지,논현로20길,4-11 번,37.477488,127.045617,6307,서울특별시 강남구 논현로20길 4-11,서울특별시 강남구 개포동  1236-20,02-578-4242,월-금 10시-22시,토-일 10시-22시,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
402키친,음식점/유흥시설,유럽음식,이탈리아,서울특별시,마포구,창전동,,402-17 번지,독막로,140 번,37.547331,126.929139,4078,서울특별시 마포구 독막로 140,서울특별시 마포구 창전동  402-17,070-8154-6868,월-금 10시30분-01시,토 10시30분-22시30분,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
40호베트남쌀국수,음식점/유흥시설,동남아시아음식,베트남,경기도,평택시,통복동,,95-71 번지,통복시장2로9번길,7 번,36.996852,127.084014,17893,경기도 평택시 통복시장2로9번길 7,경기도 평택시 통복동  95-71,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
420퍼스타보,음식점/유흥시설,동남아시아음식,베트남,서울특별시,중구,남대문로5가,,21-1 번지,세종대로,30 번,37.559017,126.974919,4527,서울특별시 중구 세종대로 30,서울특별시 중구 남대문로5가  21-1,02-3789-1777,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
428레스토랑,음식점/유흥시설,유럽음식,이탈리아,서울특별시,강남구,삼성동,,113-5 번지,봉은사로,428 번,37.510841,127.046898,6153,서울특별시 강남구 봉은사로 428,서울특별시 강남구 삼성동 113-5,0507-1364-8880,월-금 11시30분-22시,"토 11시30분-22시,일 11시30분-21시",무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
495도씨수완본점,음식점/유흥시설,유럽음식,이탈리아,광주광역시,광산구,장덕동,,1302 번지,장신로,85 번,35.191148,126.81934,62224,광주광역시 광산구 장신로 85,광주광역시 광산구 장덕동  1302,062-951-3177,월-금 11시-22시,토-일 11시-22시,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
4SEED,음식점/유흥시설,유럽음식,이탈리아,서울특별시,종로구,평창동,,273-1 번지,평창8길,3 번,37.604545,126.966082,3011,서울특별시 종로구 평창8길 3,서울특별시 종로구 평창동 273-1,02-395-7187,11시-22시,11시-22시,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
503TABLE,음식점/유흥시설,유럽음식,이탈리아,서울특별시,서초구,반포동,,107-65 번지,서래로5길,33 번,37.497804,126.996368,6575,서울특별시 서초구 서래로5길 33,서울특별시 서초구 반포동  107-65,0507-1371-1077,월-금 11시30분-22시,토-일 11시30분-22시,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
505레스토랑,음식점/유흥시설,유럽음식,이탈리아,부산광역시,사하구,다대동,,257-3 번지,다대로,505 번,35.059837,128.974254,49522,부산광역시 사하구 다대로 505,부산광역시 사하구 다대동  257-3,0507-1488-5995,정보없음,정보없음,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
515더오리지널,음식점/유흥시설,유럽음식,이탈리아,경기도,파주시,서패동,,183-1 번지,돌곶이길,95 번,37.714492,126.695853,10883,경기도 파주시 돌곶이길 95,경기도 파주시 서패동  183-1,031-944-0330,월-금 11시-21시,토-일 11시-21시,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
55다이닝,음식점/유흥시설,유럽음식,이탈리아,대구광역시,중구,삼덕동1가,,55-21 번지,동성로5길,94-19 번,35.866077,128.59953,41942,대구광역시 중구 동성로5길 94-19,대구광역시 중구 삼덕동1가  55-21,053-214-5521,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
55도 와인포차,음식점/유흥시설,지중해음식,이탈리아 코카시안 프랑스,대전광역시,유성구,어은동,,100-5 번지,어은로57번길,51 번,36.362154,127.353872,34139,대전광역시 유성구 어은로57번길 51,대전광역시 유성구 어은동 100-5,042-389-1636,월-금 17시30분-02시,토-일 17시30분-02시,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
5테이블 운양본점,음식점/유흥시설,유럽음식,이탈리아,경기도,김포시,운양동,,1297-3 번지,김포한강11로,300 번,37.655363,126.682491,10073,경기도 김포시 김포한강11로 300,경기도 김포시 운양동  1297-3,031-997-5599,화-금 11시-22시,토-일 11시-22시,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
5GIL7BISTRO,음식점/유흥시설,유럽음식,이탈리아,서울특별시,중구,필동3가,,62-11 번지,필동로5길,7 번,37.556767,126.995937,4622,서울특별시 중구 필동로5길 7,서울특별시 중구 필동3가  62-11,02-2272-0507,월-금 11시30분-22시,토-일 12시-20시30분,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
5PAGE,음식점/유흥시설,유럽음식,이탈리아,경기도,고양시 덕양구,행신동,,1082-2 번지,중앙로,450 번,37.618466,126.845509,10486,경기도 고양시 덕양구 중앙로 450,경기도 고양시 덕양구 행신동  1082-2,031-974-1600,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
628파스타,음식점/유흥시설,유럽음식,이탈리아,대전광역시,유성구,죽동,,628-2 번지,은구비로155번길,32-9 번,36.379656,127.324865,34097,대전광역시 유성구 은구비로155번길 32-9,대전광역시 유성구 죽동  628-2,0507-1389-6282,"월,수-금 11시30분-22시",토-일 11시30분-22시,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
62QUAN,음식점/유흥시설,동남아시아음식,기타,서울특별시,은평구,갈현동,,400-4 번지,연서로29길,20-14 번,37.619637,126.918896,3330,서울특별시 은평구 연서로29길 20-14,서울특별시 은평구 갈현동  400-4,0507-1320-1908,월-금 11시-21시,토-일 11시-21시,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
72420,음식점/유흥시설,동남아시아음식,베트남,서울특별시,동작구,사당동,,1045-13 번지,남부순환로269길,13 번,37.477383,126.978202,7024,서울특별시 동작구 남부순환로269길 13,서울특별시 동작구 사당동  1045-13,02-521-2420,월-금 11시30분-22시,토-일 11시30분-22시,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
72420 동탄본점,음식점/유흥시설,동남아시아음식,베트남,경기도,화성시,청계동,,536 번지,동탄대로시범길,134 번,37.199287,127.115411,18476,경기도 화성시 동탄대로시범길 134,경기도 화성시 청계동  536,031-373-7240,월-금 10시30분-22시,토-일 10시30분-22시,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
72420 목동점,음식점/유흥시설,동남아시아음식,베트남,서울특별시,양천구,신정동,,1006-1 번지,오목로50길,23 번,37.523948,126.864389,8023,서울특별시 양천구 오목로50길 23,서울특별시 양천구 신정동  1006-1,02-2699-5763,화-금 11시30분-21시,토-일 11시30분-21시,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
72420 미아사거리점,음식점/유흥시설,동남아시아음식,베트남,서울특별시,성북구,길음동,,1288 번지,숭인로,50 번,37.612311,127.028554,2727,서울특별시 성북구 숭인로 50,서울특별시 성북구 길음동  1288,02-989-9004,월-금 11시30분-21시,토-일 11시30분-21시,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
72420 사당본점,음식점/유흥시설,동남아시아음식,베트남,서울특별시,동작구,사당동,,1039-16 번지,동작대로1길,50 번,37.477419,126.978643,7025,서울특별시 동작구 동작대로1길 50,서울특별시 동작구 사당동 1039-16 중동빌딩,02-521-2420,월-금 11시30분-21시30분,토-일 11시30분-21시30분,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
72420 성신여대점,음식점/유흥시설,동남아시아음식,베트남,서울특별시,성북구,동선동1가,,121-4 번지,동소문로24길,13 번,37.593119,127.018742,2845,서울특별시 성북구 동소문로24길 13,서울특별시 성북구 동선동1가  121-4,0507-1334-0303,화-금 11시30분-22시,토-일 11시30분-22시,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
